date,MaxTemp,MinGrassTemp,MinTemp,MaxRH,MinRH
01/01/2020,18.7,16.6,17.2,86.0,75.0
02/01/2020,20.4,17.1,17.4,83.0,67.0
03/01/2020,22.0,15.8,17.2,88.0,70.0
04/01/2020,22.0,15.0,17.6,88.0,72.0
05/01/2020,22.1,17.0,18.7,86.0,71.0
06/01/2020,24.0,18.0,19.5,86.0,66.0
07/01/2020,25.8,17.9,20.4,90.0,70.0
08/01/2020,26.0,16.6,19.7,89.0,51.0
09/01/2020,20.6,16.6,18.4,83.0,71.0
10/01/2020,21.8,17.0,18.8,88.0,73.0
11/01/2020,23.9,16.8,18.7,90.0,71.0
12/01/2020,20.3,14.4,15.7,73.0,54.0
13/01/2020,19.7,15.5,17.2,81.0,72.0
14/01/2020,21.9,15.2,17.5,82.0,64.0
15/01/2020,21.7,15.8,17.9,89.0,70.0
16/01/2020,22.2,17.5,18.4,88.0,78.0
17/01/2020,20.0,17.4,17.2,87.0,60.0
18/01/2020,21.0,15.5,17.1,82.0,66.0
19/01/2020,20.7,15.6,16.6,83.0,67.0
20/01/2020,20.6,14.3,15.7,80.0,69.0
21/01/2020,21.1,15.0,17.3,86.0,71.0
22/01/2020,23.6,17.2,18.0,89.0,72.0
23/01/2020,25.7,18.4,20.5,93.0,73.0
24/01/2020,23.1,19.0,20.1,92.0,84.0
25/01/2020,22.2,18.7,18.8,96.0,80.0
26/01/2020,19.2,13.2,13.7,96.0,75.0
27/01/2020,16.0,11.0,11.5,77.0,59.0
28/01/2020,16.1,9.9,10.8,76.0,58.0
29/01/2020,17.1,10.6,11.0,67.0,43.0
30/01/2020,18.5,8.6,11.6,55.0,34.0
31/01/2020,18.9,8.0,11.8,70.0,44.0
01/02/2020,18.8,10.7,14.1,80.0,67.0
02/02/2020,19.5,13.0,15.9,82.0,70.0
03/02/2020,20.4,13.8,16.6,85.0,68.0
04/02/2020,19.0,15.4,15.4,95.0,76.0
05/02/2020,18.3,16.5,16.6,92.0,79.0
06/02/2020,18.6,15.2,15.9,83.0,74.0
07/02/2020,20.6,15.2,17.3,86.0,77.0
08/02/2020,19.6,16.2,16.7,83.0,69.0
09/02/2020,18.5,15.3,15.0,86.0,68.0
10/02/2020,18.6,15.3,15.5,81.0,71.0
11/02/2020,19.1,16.1,16.8,95.0,77.0
12/02/2020,24.7,16.9,18.4,94.0,76.0
13/02/2020,20.5,17.1,18.9,97.0,92.0
14/02/2020,22.5,17.8,19.5,97.0,91.0
15/02/2020,22.3,19.4,19.4,97.0,92.0
16/02/2020,22.4,14.6,10.6,96.0,65.0
17/02/2020,18.0,10.3,10.3,73.0,37.0
18/02/2020,18.4,9.8,11.6,71.0,48.0
